Lexema: Tituto Tipo: ID Fila: 1 Columna: 7
Lexema: = Tipo: IGUAL Fila: 1 Columna: 8
Lexema: "POkebola" Tipo: CADENA Fila: 1 Columna: 18
Lexema: ; Tipo: PUNTO_Y_COMA Fila: 1 Columna: 19
Lexema: ancho Tipo: ANCHO Fila: 2 Columna: 5
Lexema: = Tipo: IGUAL Fila: 2 Columna: 6
Lexema: 300 Tipo: NUMERO Fila: 2 Columna: 10
Lexema: ; Tipo: PUNTO_Y_COMA Fila: 2 Columna: 11
Lexema: Alto Tipo: ALTO Fila: 3 Columna: 4
Lexema: = Tipo: IGUAL Fila: 3 Columna: 5
Lexema: 300 Tipo: NUMERO Fila: 3 Columna: 9
Lexema: ; Tipo: PUNTO_Y_COMA Fila: 3 Columna: 10
Lexema: Filas Tipo: FILA Fila: 4 Columna: 5
Lexema: = Tipo: IGUAL Fila: 4 Columna: 6
Lexema: 12 Tipo: NUMERO Fila: 4 Columna: 9
Lexema: ; Tipo: PUNTO_Y_COMA Fila: 4 Columna: 10
Lexema: Columnas Tipo: COLUMNA Fila: 5 Columna: 8
Lexema: = Tipo: IGUAL Fila: 5 Columna: 9
Lexema: 12 Tipo: NUMERO Fila: 5 Columna: 12
Lexema: ; Tipo: PUNTO_Y_COMA Fila: 5 Columna: 13
Lexema: CELDAS Tipo: CELDAS Fila: 6 Columna: 6
Lexema: = Tipo: IGUAL Fila: 6 Columna: 7
Lexema: { Tipo: LLAVE_IZQUIERDA Fila: 6 Columna: 9
Lexema: [ Tipo: CORCHETE_IZQUIERDA Fila: 7 Columna: 2
Lexema: 4 Tipo: NUMERO Fila: 7 Columna: 3
Lexema: , Tipo: COMA Fila: 7 Columna: 4
Lexema: 0 Tipo: NUMERO Fila: 7 Columna: 5
Lexema: , Tipo: COMA Fila: 7 Columna: 6
Lexema: TRUE Tipo: BOOLEANO Fila: 7 Columna: 10
Lexema: , Tipo: COMA Fila: 7 Columna: 11
Lexema: #000000 Tipo: COLOR Fila: 7 Columna: 18
Lexema: ] Tipo: CORCHETE_DERECHA Fila: 7 Columna: 19
Lexema: [ Tipo: CORCHETE_IZQUIERDA Fila: 8 Columna: 5
Lexema: 4 Tipo: NUMERO Fila: 8 Columna: 6
Lexema: , Tipo: COMA Fila: 8 Columna: 7
Lexema: 0 Tipo: NUMERO Fila: 8 Columna: 8
Lexema: , Tipo: COMA Fila: 8 Columna: 9
Lexema: TRUE Tipo: BOOLEANO Fila: 8 Columna: 13
Lexema: , Tipo: COMA Fila: 8 Columna: 14
Lexema: #000000 Tipo: COLOR Fila: 8 Columna: 21
Lexema: ] Tipo: CORCHETE_DERECHA Fila: 8 Columna: 22
Lexema: } Tipo: LLAVE_DERECHA Fila: 9 Columna: 1
Lexema: ; Tipo: PUNTO_Y_COMA Fila: 9 Columna: 2
Lexema: filtros Tipo: FILTROS Fila: 11 Columna: 7
Lexema: = Tipo: IGUAL Fila: 11 Columna: 8
Lexema: Mirrorx Tipo: MIRRORX Fila: 11 Columna: 16
Lexema: ; Tipo: PUNTO_Y_COMA Fila: 11 Columna: 17
